"REF_DATE","GEO","DGUID","Statistics (6B)","Age (15A)","Gender (3)","Highest certificate, diploma or degree (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","104.1.1.1.1","100.0","","","","1"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","104.1.1.1.2","18.9","","","","1"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","104.1.1.1.3","30.9","","","","1"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","104.1.1.1.7","3.1","","","","1"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","104.1.1.1.8","3.6","","","","1"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","104.1.1.1.9","17.7","","","","1"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","104.1.1.1.10","3.0","","","","1"
"2021","Manitoba","2021A000246","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","104.1.1.1.11","22.9","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","111.1.1.1.1","100.0","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","111.1.1.1.2","18.1","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","111.1.1.1.3","32.2","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","111.1.1.1.7","3.7","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","111.1.1.1.8","5.9","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","111.1.1.1.9","16.3","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","111.1.1.1.10","3.3","","","","1"
"2021","Saskatchewan","2021A000247","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","111.1.1.1.11","20.5","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","121.1.1.1.1","100.0","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","121.1.1.1.2","15.5","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","121.1.1.1.3","28.8","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","121.1.1.1.7","2.6","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","121.1.1.1.8","6.2","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","121.1.1.1.9","18.2","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","121.1.1.1.10","3.2","","","","1"
"2021","Alberta","2021A000248","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","121.1.1.1.11","25.6","","","","1"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","141.1.1.1.1","100.0","","","","1"
