"REF_DATE","GEO","DGUID","Age group","Reasons not looking for work","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","High 95% confidence interval, number of persons","Number","223","units","0","v1586031608","1.1.8.3","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Percentage of persons","Percent","239","units","0","v1586031609","1.1.8.4","1.8","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Percentage of persons","Percent","239","units","0","v1586031609","1.1.8.4","2.7","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031610","1.1.8.5","1.0","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031610","1.1.8.5","1.4","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031611","1.1.8.6","3.6","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - fear of prejudice or discrimination ","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031611","1.1.8.6","4.9","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Number of persons","Number","223","units","0","v1586031612","1.1.9.1","26120","E","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Number of persons","Number","223","units","0","v1586031612","1.1.9.1","31480","E","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031613","1.1.9.2","18190","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031613","1.1.9.2","22830","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","High 95% confidence interval, number of persons","Number","223","units","0","v1586031614","1.1.9.3","35740","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","High 95% confidence interval, number of persons","Number","223","units","0","v1586031614","1.1.9.3","41420","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Percentage of persons","Percent","239","units","0","v1586031615","1.1.9.4","10.8","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Percentage of persons","Percent","239","units","0","v1586031615","1.1.9.4","15.2","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031616","1.1.9.5","7.8","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031616","1.1.9.5","11.4","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031617","1.1.9.6","14.9","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, reason - other","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031617","1.1.9.6","20.0","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Number of persons","Number","223","units","0","v1586031618","1.1.10.1","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Number of persons","Number","223","units","0","v1586031618","1.1.10.1","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031619","1.1.10.2","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031619","1.1.10.2","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","High 95% confidence interval, number of persons","Number","223","units","0","v1586031620","1.1.10.3","","F","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","High 95% confidence interval, number of persons","Number","223","units","0","v1586031620","1.1.10.3","","F","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Percentage of persons","Percent","239","units","0","v1586031621","1.1.10.4","6.0","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Percentage of persons","Percent","239","units","0","v1586031621","1.1.10.4","5.8","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031622","1.1.10.5","3.5","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031622","1.1.10.5","3.4","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031623","1.1.10.6","10.1","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Wanted work, no reason","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031623","1.1.10.6","9.6","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Number of persons","Number","223","units","0","v1586031624","1.1.11.1","1216510","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Number of persons","Number","223","units","0","v1586031624","1.1.11.1","1483520","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031625","1.1.11.2","1158160","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Low 95% confidence interval, number of persons","Number","223","units","0","v1586031625","1.1.11.2","1408910","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","High 95% confidence interval, number of persons","Number","223","units","0","v1586031626","1.1.11.3","1271980","","","","0"
"2022","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","High 95% confidence interval, number of persons","Number","223","units","0","v1586031626","1.1.11.3","1550450","","","","0"
"2017","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Percentage of persons","Percent","239","units","0","v1586031627","1.1.11.4","83.4","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Percentage of persons","Percent","239","units","0","v1586031627","1.1.11.4","87.7","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031628","1.1.11.5","81.6","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","Low 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031628","1.1.11.5","86.3","","","","1"
"2017","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031629","1.1.11.6","85.2","","","","1"
"2022","Canada","2021A000011124","Total, 15 years and over","Not in the labour force and did not want work or not available","High 95% confidence interval, percentage of persons","Percent","239","units","0","v1586031629","1.1.11.6","89.0","","","","1"


